trial_id,success,blocking_collision,minor_contact,timeout,time_s,trajectory_length_m,angular_std,safety_triggers
1,0,1,0,1,160.1,20.928,0.3837,212
2,1,0,1,0,82.9,14.129,0.5264,306
2,0,0,1,1,160.0,17.131,0.3635,848
3,0,0,1,1,160.1,22.505,0.4641,732
3,0,0,1,1,160.01,8.094,0.4168,1225
4,0,0,1,1,160.0,4.797,1.4782,1264
3,0,0,1,1,160.1,34.361,0.7241,221
7,0,1,0,1,160.0,10.627,0.3977,811
8,1,0,1,0,97.4,12.61,0.3154,28
9,0,0,1,1,160.1,19.71,0.6987,362
1,1,0,1,0,61.9,11.146,0.5784,13
3,1,0,1,0,54.1,9.266,0.5267,30
2,1,0,0,0,47.0,8.92,0.5186,0
4,1,0,1,0,54.2,9.638,0.5593,33
5,1,0,1,0,48.3,8.556,0.5044,0
6,1,0,0,0,47.4,8.763,0.5591,0
7,1,0,1,0,97.1,13.304,0.595,90
8,1,0,1,0,51.9,8.649,0.5088,0
9,1,0,0,0,49.9,8.78,0.5763,0
10,1,0,1,0,75.9,11.488,0.5656,13
